X,Y,site,address,paper_card,mdr,glass,tetrapak,clothes,clothes_shoes,clothes_books,shoes_books,books,books_dvd,uprn,objectid,easting,northing
434808,386949,,Recycling Point At The Junction Of Fitzwilliam Street And Wellington Street Fitzwilliam Street Sheffield S1 4HX,2,3,2,0,1,1,0,0,0,0,010022927477,197,434808,386949
435500,385213,,Heeley City Farm Recycling Point Richards Road Sheffield S2 3DT,2,5,3,0,5,1,0,2,0,0,010022926971,198,435500,385213
434633,383903,,Homebase Recycling Point 401 Chesterfield Road Sheffield S8 0RW,5,3,3,0,4,4,0,1,0,1,010022926995,199,434633,383903
435712,380737,,Jordanthorpe Centre Recycling Point Dyche Lane Sheffield S8 8DX,3,4,1,0,0,3,0,1,0,0,010022927010,200,435712,380737
431059,388310,,Hall Park Hill Recycling Point Hall Park Hill Sheffield S6 5QT,3,3,2,0,1,0,0,1,0,0,010022926968,201,431059,388310
430366,388603,,Stannington Library Recycling Point Uppergate Road Sheffield S6 6BX,5,4,1,0,4,0,0,1,1,0,010022927250,202,430366,388603
426306,392033,,Bradfield Village Hall The Sands Sheffield S6 6LB,3,4,3,0,2,0,0,1,1,0,010023157016,203,426306,392033
434963,385425,,Herchell Road Recycling Point Rear Of 94 Abbeydale Road Herschell Road Sheffield S7 1FF,1,1,1,0,0,0,1,0,0,0,010024191551,204,434963,385425
440312,386763,,ASDA Recycling Point Handsworth Road Sheffield S13 9BN,10,18,6,0,6,0,0,0,0,2,010022926904,205,440312,386763
443408,383094,,Crystal Peaks Shopping Centre Recycling Point Eckington Way Sheffield S20 7PQ,5,7,3,0,1,0,0,1,0,1,010022926942,206,443408,383094
442147,384818,,Stag Public House Recycling Point Market Street Woodhouse Sheffield S13 7JX,4,4,3,0,2,0,0,2,0,1,010022927243,207,442147,384818
441781,384890,,Co-op Recycling Point Chapel Street Woodhouse Sheffield S13 7JN,2,2,3,0,1,0,0,0,0,0,010022926932,208,441781,384890
436769,391236,,First Start Childrens Centre Nursery Recycling Point Hucklow Road Sheffield S5 6QQ,2,1,2,0,0,0,0,0,0,0,010024191573,209,436769,391236
